year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2010,Supporting Actress,True Grit,Hailee Steinfeld,0.0,0.0,0.0,0.0,128,43700000.0,7.4,83.0,90.0,1,0,0,1,0,0,1,0,0
2010,Supporting Actress,Animal Kingdom,Jacki Weaver,0.0,0.0,0.0,0.0,113,6800000.0,7.3,83.0,95.0,0,1,0,0,0,0,1,0,0
2011,Supporting Actress,The Help,Octavia Spencer,1.0,1.0,1.0,1.0,146,216600000.0,8.1,89.0,75.0,1,0,0,1,0,0,0,1,0
2011,Supporting Actress,The Artist,Brnice Bejo,0.0,0.0,0.0,0.0,100,133400000.0,7.9,87.0,96.0,0,0,0,1,0,1,0,0,0
2011,Supporting Actress,The Help,Jessica Chastain,0.0,0.0,0.0,0.0,146,216600000.0,8.1,89.0,75.0,1,0,0,1,0,0,0,1,0
2011,Supporting Actress,Bridesmaids,Melissa McCarthy,0.0,0.0,0.0,0.0,125,288400000.0,6.8,76.0,90.0,1,1,0,0,0,0,1,0,0
2011,Supporting Actress,Albert Nobbs,Janet McTeer,0.0,0.0,0.0,0.0,113,5600000.0,6.7,48.0,57.0,0,1,0,0,0,1,0,0,0
2012,Supporting Actress,Les Misrables,Anne Hathaway,1.0,1.0,1.0,1.0,158,441800000.0,7.6,79.0,69.0,0,0,0,1,0,0,0,0,1
2012,Supporting Actress,The Master,Amy Adams,0.0,0.0,0.0,0.0,137,28300000.0,7.1,61.0,86.0,1,1,0,0,0,0,0,1,0
2012,Supporting Actress,Lincoln,Sally Field,0.0,0.0,0.0,0.0,150,275300000.0,7.4,80.0,90.0,1,0,0,1,0,0,0,0,1
2012,Supporting Actress,The Sessions,Helen Hunt,0.0,0.0,0.0,0.0,95,9138338.0,7.2,80.0,93.0,1,1,0,0,0,0,0,0,1
2012,Supporting Actress,Silver Linings Playbook,Jacki Weaver,0.0,0.0,0.0,0.0,122,236400000.0,7.8,86.0,92.0,1,1,0,0,0,0,0,0,1
2013,Supporting Actress,12 Years a Slave,Lupita Nyong'o,0.0,0.0,1.0,1.0,134,187700000.0,8.1,90.0,96.0,1,1,0,0,0,0,0,0,1
2013,Supporting Actress,Blue Jasmine,Sally Hawkins,0.0,0.0,0.0,0.0,99,97500000.0,7.3,77.0,91.0,1,0,0,1,0,0,0,1,0
2013,Supporting Actress,American Hustle,Jennifer Lawrence,1.0,1.0,0.0,0.0,138,251100000.0,7.3,74.0,93.0,1,1,0,0,0,0,0,0,1
2013,Supporting Actress,August: Osage County,Julia Roberts,0.0,0.0,0.0,0.0,120,74200000.0,7.2,65.0,64.0,1,1,0,0,0,1,0,0,0
2013,Supporting Actress,Nebraska,June Squibb,0.0,0.0,0.0,0.0,114,27700000.0,7.7,83.0,91.0,1,1,0,0,0,1,0,0,0
2014,Supporting Actress,Boyhood,Patricia Arquette,1.0,1.0,1.0,1.0,165,44500000.0,7.9,81.0,98.0,1,1,0,0,0,0,0,1,0
2014,Supporting Actress,Wild,Laura Dern,0.0,0.0,0.0,0.0,115,52500000.0,7.1,75.0,90.0,1,1,0,0,0,0,0,0,1
2014,Supporting Actress,The Imitation Game,Keira Knightley,0.0,0.0,0.0,0.0,114,233600000.0,8.1,91.0,90.0,1,0,0,1,0,0,0,0,1
2014,Supporting Actress,Birdman or (The Unexpected Virtue of Ignorance),Emma Stone,0.0,0.0,0.0,0.0,119,103200000.0,7.8,77.0,91.0,1,1,0,0,0,0,0,0,1
2014,Supporting Actress,Into the Woods,Meryl Streep,0.0,0.0,0.0,0.0,124,213100000.0,6.0,49.0,71.0,1,0,1,0,0,0,0,0,1
2015,Supporting Actress,The Danish Girl,Alicia Vikander,0.0,0.0,1.0,1.0,119,64200000.0,7.0,73.0,69.0,0,1,0,0,0,1,0,0,0
